original_filename,new_filename,width,height,orig_kb,new_kb
620000112_862616966534578_6999645480708267526_n.jpg,ramos-cabinetry-construction-mesa-az-project-056,1500,2000,232,158
620029393_862616506534624_2130481021727387244_n.jpg,ramos-cabinetry-construction-mesa-az-project-057,1500,2000,238,162
622079937_865261149603493_7727176229815961427_n.jpg,ramos-cabinetry-construction-mesa-az-project-058,1500,2000,245,172
622833583_862616466534628_5726814756834403703_n.jpg,ramos-cabinetry-construction-mesa-az-project-059,1500,2000,304,243
622859272_862616476534627_967140517212269237_n.jpg,ramos-cabinetry-construction-mesa-az-project-060,2000,1500,199,125
622912173_865261106270164_7820283727120467329_n.jpg,ramos-cabinetry-construction-mesa-az-project-061,1500,2000,260,185
622950046_867067776089497_1034402409453123022_n.jpg,ramos-cabinetry-construction-mesa-az-project-062,1500,2000,244,158
622952742_862616923201249_1968513686373633244_n.jpg,ramos-cabinetry-construction-mesa-az-project-063,1500,2000,242,160
623123259_867067782756163_4075089231793330359_n.jpg,ramos-cabinetry-construction-mesa-az-project-064,1500,2000,260,175
623186094_867067809422827_8310456780431799508_n.jpg,ramos-cabinetry-construction-mesa-az-project-065,1500,2000,261,179
623260650_867066666089608_2889832367758992755_n.jpg,ramos-cabinetry-construction-mesa-az-project-066,1500,2000,260,185
623379047_867065932756348_8869343807750992168_n.jpg,ramos-cabinetry-construction-mesa-az-project-067,720,1280,172,184
624112955_867064926089782_6209399158030595452_n.jpg,ramos-cabinetry-construction-mesa-az-project-068,2000,1500,502,535
625099587_867693636026911_6299018648033983888_n.jpg,ramos-cabinetry-construction-mesa-az-project-069,1500,2000,157,97
626793270_869852749144333_2496319275931026485_n.jpg,ramos-cabinetry-construction-mesa-az-project-070,1500,2000,335,245
627973663_872885232174418_1339850886736412553_n.jpg,ramos-cabinetry-construction-mesa-az-project-071,1500,2000,251,178
628462680_872885205507754_142193758250372517_n.jpg,ramos-cabinetry-construction-mesa-az-project-072,1500,2000,152,77
630350287_872885208841087_4911561036062952585_n.jpg,ramos-cabinetry-construction-mesa-az-project-073,1500,2000,211,129
637890817_883681974428077_8458226396803752780_n.jpg,ramos-cabinetry-construction-mesa-az-project-074,1500,2000,333,263
637891723_883682757761332_2701447445074120335_n.jpg,ramos-cabinetry-construction-mesa-az-project-075,1500,2000,279,198
637908766_883682001094741_83507848739664367_n.jpg,ramos-cabinetry-construction-mesa-az-project-076,1500,2000,317,238
637917635_883681967761411_9010879162045293131_n.jpg,ramos-cabinetry-construction-mesa-az-project-077,1500,2000,378,293
637973062_884526587676949_5589784102947308342_n.jpg,ramos-cabinetry-construction-mesa-az-project-078,1500,2000,234,159
637992462_884526621010279_2123141939309757243_n.jpg,ramos-cabinetry-construction-mesa-az-project-079,1500,2000,302,213
638033058_883682704428004_1411495853427369256_n.jpg,ramos-cabinetry-construction-mesa-az-project-080,1500,2000,467,415
638033563_883682007761407_3916734235529513092_n.jpg,ramos-cabinetry-construction-mesa-az-project-081,1500,2000,324,249
638361572_884526584343616_4554233196199966466_n.jpg,ramos-cabinetry-construction-mesa-az-project-082,1500,2000,281,196
638368521_883683454427929_5117068912273822957_n.jpg,ramos-cabinetry-construction-mesa-az-project-083,1500,2000,645,651
638481975_884526614343613_7616917059787459994_n.jpg,ramos-cabinetry-construction-mesa-az-project-084,1500,2000,243,160
639066908_883682731094668_2097969853333397665_n.jpg,ramos-cabinetry-construction-mesa-az-project-085,1500,2000,302,221
639151572_883683441094597_245038317677668489_n.jpg,ramos-cabinetry-construction-mesa-az-project-086,1500,2000,451,411
639160926_883684707761137_9085817634295270060_n.jpg,ramos-cabinetry-construction-mesa-az-project-087,2000,1500,294,219
639165323_883682017761406_8773702232172533484_n.jpg,ramos-cabinetry-construction-mesa-az-project-088,1500,2000,270,193
639270499_883684701094471_8010261192977350338_n.jpg,ramos-cabinetry-construction-mesa-az-project-089,2000,1500,308,231
639443089_883682684428006_3147076539468358239_n.jpg,ramos-cabinetry-construction-mesa-az-project-090,1500,2000,225,143
639759717_883683467761261_952665732392706880_n.jpg,ramos-cabinetry-construction-mesa-az-project-091,1500,2000,385,308
639897305_883682741094667_9176456253332515202_n.jpg,ramos-cabinetry-construction-mesa-az-project-092,1500,2000,321,263
644452218_891522933643981_5599885871138232492_n.jpg,ramos-cabinetry-construction-mesa-az-project-093,1500,2000,379,299
644460718_891522926977315_7119672060591714739_n.jpg,ramos-cabinetry-construction-mesa-az-project-094,1500,2000,233,159
650740230_900368319426109_781787145356074781_n.jpg,ramos-cabinetry-construction-mesa-az-project-095,1080,1351,117,91
651002728_901256382670636_4815564439411103480_n.jpg,ramos-cabinetry-construction-mesa-az-project-096,1500,2000,166,99
651169419_901256362670638_8475978078985588188_n.jpg,ramos-cabinetry-construction-mesa-az-project-097,1500,2000,165,98
651176711_901256329337308_7499620896418296057_n.jpg,ramos-cabinetry-construction-mesa-az-project-098,1500,2000,240,175
652148424_901256352670639_9056080580153367946_n.jpg,ramos-cabinetry-construction-mesa-az-project-099,1500,2000,234,157
653432514_901256312670643_6458248976818458554_n.jpg,ramos-cabinetry-construction-mesa-az-project-100,1500,2000,267,205
657384620_913990034730604_3703000151526814207_n.jpg,ramos-cabinetry-construction-mesa-az-project-101,2000,1500,351,301
658426633_913988571397417_8997958711606928472_n.jpg,ramos-cabinetry-construction-mesa-az-project-102,1500,2000,168,92
659049480_913988578064083_4896425198435931927_n.jpg,ramos-cabinetry-construction-mesa-az-project-103,1500,2000,114,50
